_from,_to,amount,timestamp,txn_type,scenario
bank_account/acct_42_000000,bank_account/acct_42_000001,3000000,2026-01-28T18:56:54.108161Z,NEFT,cycle
bank_account/acct_42_000001,bank_account/acct_42_000002,3000000,2026-01-28T19:06:54.108161Z,NEFT,cycle
bank_account/acct_42_000002,bank_account/acct_42_000003,2500000,2026-01-28T19:16:54.108161Z,NEFT,cycle
bank_account/acct_42_000003,bank_account/acct_42_000000,2500000,2026-01-28T19:26:54.108161Z,NEFT,cycle
bank_account/acct_42_000100,bank_account/acct_42_000010,37183.99,2026-01-29T18:56:54.108161Z,UPI,mule
bank_account/acct_42_000101,bank_account/acct_42_000010,23675.39,2026-01-29T18:57:54.108161Z,UPI,mule
bank_account/acct_42_000102,bank_account/acct_42_000010,33324.82,2026-01-29T18:58:54.108161Z,UPI,mule
bank_account/acct_42_000103,bank_account/acct_42_000010,16045.31,2026-01-29T18:59:54.108161Z,UPI,mule
bank_account/acct_42_000104,bank_account/acct_42_000010,38894.28,2026-01-29T19:00:54.108161Z,UPI,mule
bank_account/acct_42_000105,bank_account/acct_42_000010,28834.26,2026-01-29T19:01:54.108161Z,UPI,mule
bank_account/acct_42_000106,bank_account/acct_42_000010,40424.71,2026-01-29T19:02:54.108161Z,UPI,mule
bank_account/acct_42_000107,bank_account/acct_42_000010,11209.74,2026-01-29T19:03:54.108161Z,UPI,mule
bank_account/acct_42_000108,bank_account/acct_42_000010,24297.03,2026-01-29T19:04:54.108161Z,UPI,mule
bank_account/acct_42_000109,bank_account/acct_42_000010,46310.9,2026-01-29T19:05:54.108161Z,UPI,mule
bank_account/acct_42_000110,bank_account/acct_42_000010,45412.94,2026-01-29T19:06:54.108161Z,UPI,mule
bank_account/acct_42_000111,bank_account/acct_42_000010,47832.82,2026-01-29T19:07:54.108161Z,UPI,mule
bank_account/acct_42_000112,bank_account/acct_42_000010,28226.99,2026-01-29T19:08:54.108161Z,UPI,mule
bank_account/acct_42_000113,bank_account/acct_42_000010,35698.94,2026-01-29T19:09:54.108161Z,UPI,mule
bank_account/acct_42_000114,bank_account/acct_42_000010,47468.31,2026-01-29T19:10:54.108161Z,UPI,mule
bank_account/acct_42_000115,bank_account/acct_42_000010,24916.04,2026-01-29T19:11:54.108161Z,UPI,mule
